gene_id	transcript_id.s.	length	effective_length	expected_count	TPM	FPKM
ACADVL	uc002gev.4,uc002gew.4,uc002gex.4,uc010vtp.3,uc010vtq.2	2250.65	2068.07	5720	68.86	89.11
ACAN	uc002bmx.3,uc002bna.2,uc010upo.1,uc010upp.1	7561	7378.42	0	0	0
ACAP1	uc002ggd.2	2508	2325.42	30	0.32	0.42
ACAP2	uc003fun.4,uc003fuo.3	7170	6987.42	1423	5.07	6.56
ACAP3	uc001ady.2,uc001aea.2,uc001aeb.2,uc001aec.1	3555.13	3372.54	152	1.12	1.45
ACAT1	uc001pjw.1,uc001pjx.3,uc001pjy.3	2134	1951.42	2048	26.13	33.81
ACAT2	uc010kjy.3,uc011efw.2,uc031sqw.1	1552.17	1369.59	2431	44.19	57.19
ACBD3	uc001hpy.3	3565	3382.42	643	4.73	6.12
ACBD4	uc002iic.3,uc002iid.2,uc002iie.3,uc002iif.3,uc010dae.3,uc010wjj.2	1903.64	1721.06	290	4.19	5.43
ACBD5	uc001ito.3,uc001itp.3,uc001itq.3,uc001itr.2,uc010qdm.3,uc010qdn.3,uc010qdo.3,uc010qdp.2	3872.35	3689.77	6244	42.13	54.52
ACBD6	uc001gog.3	1616	1433.42	865	15.02	19.44
ACBD7	uc001inv.3,uc010qby.1	3370	3187.42	3	0.02	0.03
ACCS	uc001mxx.2,uc009yks.1,uc010rfm.1,uc010rfn.2	2021.77	1839.18	221	2.99	3.87
ACCSL	uc001mxw.1,uc009ykr.2	1843.5	1660.92	0	0	0
ACD	uc002etp.4,uc002etq.4,uc002etr.4,uc010vjt.1	2124.56	1941.98	424	5.44	7.03
ACE	uc002jau.2,uc002jav.2,uc002jaw.2,uc010ddu.2,uc010ddv.2,uc010wph.2,uc010wpi.2,uc010wpj.2,uc010wpk.2,uc031rdj.1	4217.19	4034.6	601	3.71	4.8
ACE2	uc004cxa.1,uc004cxb.2	3458	3275.42	15	0.11	0.15
ACER1	uc002mel.2	1088	905.42	0	0	0
ACER2	uc003znx.1,uc003zny.1,uc003znz.1	2852	2669.42	70	0.65	0.84
ACER3	uc001oxu.2,uc009yul.1,uc009yum.1,uc009yun.1,uc009yuo.1,uc010rsg.1,uc010rsh.1,uc010rsi.1,uc010rsj.1	2761.73	2579.15	755	7.29	9.43
ACHE	uc003uxd.3,uc003uxe.3,uc003uxf.3,uc003uxg.3,uc003uxh.3,uc003uxi.3,uc003uxj.1	1846.3	1663.72	60	0.9	1.16
ACIN1	uc001wio.4,uc001wip.4,uc001wiq.4,uc001wir.4,uc001wis.4,uc001wit.4,uc010akg.3,uc010tnj.2	4510.37	4327.79	906	5.21	6.74
ACLY	uc002hyg.3,uc002hyh.3,uc002hyi.3,uc010wfx.2,uc010wfy.2	4344.84	4162.25	6587	39.4	50.99
ACMSD	uc002ttz.3,uc002tua.3	1278.5	1095.92	0	0	0
ACN9	uc003uoo.4	2057	1874.42	1059	14.07	18.2
ACO1	uc003zqw.4,uc003zqx.4,uc003zqy.4,uc010mjh.1	3471	3288.42	716	5.42	7.02
ACO2	uc003bac.3	2741	2558.42	1851	18.01	23.31
ACOT1	uc001xol.1,uc010tuc.3	1603	1420.42	245.3	4.3	5.56
ACOT11	uc001cxj.2,uc001cxk.3,uc001cxl.2,uc001cxm.2	2576.56	2393.98	133.99	1.39	1.8
ACOT12	uc003khl.4,uc003khm.3	1295	1112.43	0	0	0
ACOT13	uc003nek.3,uc010jpv.3	4104	3921.42	677	4.3	5.56
ACOT2	uc001xom.4,uc001xon.5	1635.67	1453.09	1862.7	31.91	41.3
ACOT4	uc001xoo.3	1632	1449.42	130	2.23	2.89
ACOT6	uc001xop.3	1004	821.42	0	0	0
ACOT7	uc001amq.3,uc001amr.3,uc001ams.3,uc001amt.3,uc001amu.3	1458.9	1276.32	2007	39.15	50.66
ACOT8	uc002xqa.2,uc002xqc.2,uc010zxe.2,uc010zxf.2	1184.06	1001.48	544	13.52	17.5
ACOT9	uc004dan.3,uc004dao.3,uc004dap.3,uc004dar.3,uc004dat.1,uc011mjt.2	1540.68	1358.1	2027	37.16	48.09
ACOX1	uc002jqe.3,uc002jqf.3,uc010wsq.2,uc010wsr.2	7610.97	7428.38	6903	23.13	29.94
ACOX2	uc003dkl.3	2309	2126.42	8	0.09	0.12
ACOX3	uc003glc.4,uc003gld.4,uc010idk.3	2874	2691.42	238	2.2	2.85
ACOXL	uc010yxk.1,uc021vmm.1,uc021vmn.1	2373	2190.42	18	0.2	0.26
ACP1	uc002qwd.2,uc002qwe.5,uc002qwf.3,uc002qwg.3,uc002qwh.3	1522.66	1340.08	2697	50.1	64.84
