"","gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"SERINC5","SERINC5",2150.92340689284,0.295495325482973,0.64468769291079,0.458354221326609,0.646697975213555,0.784420071174585
"SERP1","SERP1",1467.40829892101,0.119307553741611,0.601468137479619,0.198360555293178,0.84276297652708,0.91457743747641
"SERP2","SERP2",14.1048506738381,0.401620080263261,2.03325900453638,0.197525292826547,0.843416490507243,0.914959066650699
"SERPINA1","SERPINA1",5464.78479656389,-3.178114122329,0.565052336968437,-5.62445974364057,1.8608944236076e-08,1.65439153332727e-06
"SERPINA3","SERPINA3",582.392006525427,-3.40459056887904,1.20345533162213,-2.82901282616781,0.00466918276412951,0.0316317955159431
"SERPINA4","SERPINA4",1164.23698715774,-3.83722592840293,0.6538284967305,-5.86885696721872,4.38809780723025e-09,4.73301520104857e-07
"SERPINA5","SERPINA5",472.83989271436,-5.60367173066456,0.892799027336407,-6.27652087321674,3.46232923261271e-10,5.13019267810059e-08
"SERPINA6","SERPINA6",111.550759475975,1.81360074430028,0.672364890305255,2.69734599538192,0.0069894606196511,0.0419339050428066
"SERPINB1","SERPINB1",1907.45951950859,0.571376880903165,0.520118652315714,1.09855102938384,0.271963947867878,0.462578582903488
"SERPINB2","SERPINB2",223.65737887274,-3.60610237019419,1.15128519015611,-3.13224073498696,0.0017347756830342,0.0156735105097004
"SERPINB5","SERPINB5",7516.23233501535,-0.555152931126598,0.454538635991162,-1.2213547698009,0.22195172454879,0.407842897082075
"SERPINB6","SERPINB6",5446.50403377968,0.710792249309926,0.473679853317989,1.50057521832739,0.133465465019371,0.296391597004188
"SERPINB7","SERPINB7",18.5643696974584,-0.251910971045679,1.88343034059727,-0.133751148431533,0.893599357891533,0.94202004893359
"SERPINB8","SERPINB8",231.300185623871,-0.258709741796374,0.512073261195147,-0.505220173364573,0.613404202786685,0.761450647276074
"SERPINB9","SERPINB9",105.67852785242,-2.16064400375494,0.644561763320229,-3.35211321351915,0.000801972160184486,0.00902849548560723
"SERPINE1","SERPINE1",277.350809560865,-2.91027250460249,1.11662479564493,-2.60631191063746,0.00915230751679709,0.0507389262902103
"SERPINE2","SERPINE2",4593.05856312317,0.887137006288451,0.545386251531592,1.62662150686258,0.103817508710256,0.2528052847395
"SERPINE3","SERPINE3",6.7315745006283,7.08140324985981,3.76030721138172,1.88319806116526,0.059673531711471,0.176494548493871
