"","rnk"
"CROT",2.57300304464195
"PEX11B",2.57165417766585
"DIAPH2",2.57080078778635
"ZNF528",2.57068128601231
"JTB",2.56892282990684
"ELF3",2.56796628437041
"SH3BGR",2.55913755060161
"SETD3",2.55890316641792
"WDR44",2.5587996841747
"PRRG2",2.55635594117219
"TDG",2.55574422203992
"RPS19",2.55385910187286
"PSME2",2.55079272282799
"TMEM144",2.54828792482255
"CDKN3",2.54662574904999
"WWC3",2.54457953504776
"KRT6A",2.53930153906148
"FBXO6",2.53839983272762
"RRAGD",2.53806259645147
"SRP9",2.53733175296335
"ATP6V0B",2.5355903476021
"RMRP",2.5342980336774
"GABARAPL2",2.5256300665564
"C20orf196",2.52037505921438
"PRELID2",2.51328885026579
"IAH1",2.51077586720069
"DEGS1",2.50988454342524
"ITGAE",2.50527240597529
"EFHC2",2.50146885915743
"RNF13",2.49901522232952
"TXN",2.49828976428515
"HABP2",2.49800617851936
"CLK4",2.49519979584289
"HSPB11",2.49407415174772
"PNKD",2.49180848720582
"TIMP1",2.49063615087213
"FBXL17",2.48815328293445
"MDP1",2.48525639371399
"RASA2",2.48468223418164
"HIST2H4A",2.48094502221212
"PROSC",2.47878246400248
"ALS2CR8",2.47725546394698
"TEX30",2.47699160683976
"ZNF674",2.47629791792085
"IL13RA1",2.47627478292483
"ANKRD49",2.47446006682681
"NDUFB2",2.4702782563251
"FLVCR2",2.47020730747802
"RABAC1",2.46841068286611
"FABP6",2.46676962341083
"UHMK1",2.46321680516421
"UPP1",2.46078977296559
"IL16",2.45938472620006
"DHDH",2.45855001926031
"MAPK9",2.45663869175156
"ZNF230",2.45628176480056
"ISCA1",2.45389382596244
"TMEM165",2.45241604106196
"BRD8",2.45111725945536
"EFNA4",2.44689299862047
"TMEM126A",2.44594808598803
"MROH7",2.4422067810044
"BPNT1",2.44116542471984
"GAS2",2.44102262542399
"IMPA1",2.44076086604195
"HOMER1",2.43872840583264
"CAPN7",2.43666956194088
"MPP6",2.43471116949524
"YPEL5",2.43375249489441
"MSL3",2.43179601725976
"STARD5",2.43153518074001
"TSPAN8",2.42951359753338
"PLA2G1B",2.42893494919969
"TBC1D7",2.42656153271328
"NSL1",2.42498951642692
"ETHE1",2.42466170677524
"APOA1BP",2.4246294065805
"SLCO1B3",2.4239538489067
"C6orf70",2.41876996719456
"UQCRFS1",2.41663186204872
"TPST1",2.41374814277846
"ZNF226",2.41354863288544
"ATP5O",2.41219137605079
"PXMP2",2.40941499069818
"TRAPPC2P1",2.40749771697467
"KIAA1704",2.40571913171641
"USP17L17",2.40394737302922
"TMEM9",2.40369386542424
"MRPS12",2.4003865081513
"SPINK4",2.4000809532336
"MDH1B",2.39859008069709
"ZNF546",2.39491376295475
"PARD6B",2.39469155006388
"ZNF630",2.39341306419309
"PPIC",2.39058306690423
"PPM1M",2.38814516202706
"RBM33",2.38505652960551
"SPATA6L",2.38404583401122
"CYP4F12",2.38369972148374
"NAT1",2.38309293909015
"EPDR1",2.38097265988727
"KLHL41",2.37774419642689
"DMBT1",2.3738817112862
"AHI1",2.37344811237476
"ANKRD46",2.37151575584404
"EPHX2",2.3710619660097
"AB429224",2.37082554521538
"NDRG2",2.37076497812588
"HCFC2",2.3687881479851
"PHKG1",2.36762438662684
"TFF1",2.36604018681252
"TTC1",2.36558419019439
"RNF103",2.36283438689263
"MTBP",2.3621260387336
"NDUFA3",2.36201058976247
"CENPW",2.35849267655816
"IL2RG",2.35804014458642
"PSMC4",2.35606402740218
"TNNC2",2.35540957831927
"ATG4C",2.35388618692226
"C1orf51",2.35292920392368
"OXSM",2.35102551852207
"PCID2",2.34792069850911
"KIAA0146",2.34681385042581
"MRPL54",2.3442196764594
"PMM1",2.34366157697538
"RPS29",2.34295452893865
"MORN5",2.34272667434205
"SFI1",2.34096556371693
"UBL3",2.33987872436694
"BTBD16",2.33783730891827
"VSNL1",2.3376093615136
"BARX2",2.3358945599083
"XKR9",2.33532939687594
"C2orf50",2.32868722726551
"CA1",2.32827262974008
"CCDC146",2.3276774061019
"PSMA7",2.32737915208588
"PDE7B",2.32533127753533
"VPS37A",2.32471804922684
"SCARNA12",2.32214645598382
"CTDSPL2",2.32182522438032
"C1GALT1C1",2.31784523847471
"CCDC138",2.31608896826314
"UQCRH",2.3152158013791
"EIF1B",2.31470760167463
"FAM195A",2.31318875235697
"NAAA",2.30831020088001
"MTSS1",2.30724572992212
"GNPDA1",2.30289258536339
"USP3",2.30181086065947
"CCDC7",2.30162127047788
"PPIP5K2",2.30133851563969
"CYC1",2.29953775222819
"DOCK4",2.29909130708261
"PHF11",2.29829719572809
"HIST2H3D",2.29807277577945
"NTPCR",2.29666933466707
"CCL24",2.29603487092088
"METTL4",2.29562551218205
"STAM2",2.2936502476713
"RPS3A",2.29157293077402
"TCEB2",2.28810930538244
"GNB4",2.28806377061166
"IVNS1ABP",2.28499080955596
"MAGIX",2.27723767404956
"CISD3",2.27593658773985
"MORN2",2.27474541888932
"SLC35E2B",2.27146960220781
"SETD4",2.26817151798289
"MRPL42",2.26648567253992
"PAM16",2.26472585272912
"PRKAB2",2.26292779045246
"KIAA1009",2.2617038302173
"ZNF284",2.25956079091155
"RNASE4",2.25333947318647
"ACTR6",2.25331202472038
"RPS16",2.25235655743924
"USP3-AS1",2.24856160858446
"HNF4G",2.24828450635296
"MGC12965",2.24695683349355
"MTFR1L",2.24374729000238
"EMC10",2.243129330688
"CHMP5",2.24146537831785
"SDR42E1",2.23942043417395
"FCRL6",2.23789672505936
"CXADR",2.23751689229984
"DKFZp779K0112",2.23579707636065
"RPS18",2.23533168190427
"SLMO2-ATP5E",2.23422891639985
"RGPD8",2.23253518588953
"NAIP",2.22889141548546
"ZCCHC17",2.22839453326114
"COX8A",2.22807859495414
"IPP",2.22606582060271
"POMP",2.22542133172302
"TMEM56-RWDD3",2.22207512695054
"WDR67",2.21748878674837
"TRAPPC5",2.21703699391198
"CCL15",2.21674981592584
"ZBTB44",2.21650186908461
"UGT2B17",2.21637950349848
"ZFX",2.21582124732498
"NDP",2.21545247859928
"TIPARP",2.21326490667833
"PSME1",2.21250998351132
"ATF3",2.21188582006215
"PSMB6",2.21076502134756
"PLEKHF2",2.20603633589521
"PMS2L2",2.2057537580836
"S100A3",2.20296195045137
"UIMC1",2.20272327709122
"SLC51A",2.20223745600652
"C1orf194",2.20054732093198
"ZNF410",2.19915364241741
